"","Country","cri","MTCO2e","Moratoria_bans_limits","Subsidy_removal","Divestment","Sources","Notes","ISO2","ISO3","UN","CAT_rating","latitude","longitude","global_level","continent_level","mbl_country","mbl_city_region","divestment_city_region","divestment_non_government","subsidy_removal","MBL_Class_Moratorium","MBL_Class_Ban","MBL_Class_Partial_Ban","MBL_Class_Limitation","MBL_Type_Oil","MBL_Type_Gas","MBL_Type_Coal","MBL_Type_Offshore","MBL_Type_Oil_Gas","MBL_Type_Oil_Gas_Coal","MBL_Type_Coal_Gas","MBL_Type_All","MBL_Type_Ore","Div_Type_Full","Div_Type_Partial","Div_Type_Fossil_Free","Div_Type_Coal_Only","Div_Type_Coal_and_Tar_Sands_Only","Div_Orga_Faith_based_Organization","Div_Orga_NGO","Div_Orga_Pension_Fund","Div_Orga_For_Profit_Corporation","Div_Orga_Philanthropic_Foundation","Div_Orga_Government","Div_Orga_Educational_Institution","Div_Orga_Healthcare_Institution","Div_Orga_Cultural_Institution","Div_Orga_Other","Sr_Type_All","Sr_Type_Coal","Sr_Type_Gas","Sr_Type_Oil","Sr_Type_Oil_Gas","Sr_Type_Oil_Coal","Sr_Type_Gas_Coal","treaty_total","Moratoria_bans_limits_total","Divestment_total","Subsidy_removal_total","Policy_total","Government_policies_total","Non_Government_policies_total","oil_production_2020","gas_production_2020","coal_production_2020","oil_production_2020_cat","gas_production_2020_cat","coal_production_2020_cat","MTCO2e_cat","global_emissions_percent","fossil_fuel_share_energy_2019","ff_share_2019_cat","co2_oil_annual_2019","co2_gas_annual_2019","co2_coal_annual_2019","co2_oil_annual_2019_cat","co2_gas_annual_2019_cat","co2_coal_annual_2019_cat"
"100","Mali",105.83,48.5,0,0,0,0,0,"ML","MLI",466,7,17,-4,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.009315,0,"No data",3149392,NA,NA,"1-5 million t",NA,NA
"101","Myanmar",20.83,220.03,0,0,0,0,0,"MM","MMR",104,7,22,98,"Global","Asia",0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,184.81905,0,"No data","1-500TWh","No data","169-500 MTCO2e",0.071983,0,"No data",13620745,7619589,3997979,"10-50 million t","1-10 million t","1-5 million t"
"102","Montenegro",124.5,3.43,0,0,0,0,0,"ME","MNE",499,7,42,19,"Global","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.006755,0,"No data",911352,NA,1550089,"1-5 million t",NA,"1-5 million t"
"103","Mongolia",59.83,67.59,0,0,0,0,0,"MN","MNG",496,7,46,105,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.305614444444,"No data","No data","1-500TWh","1-169 MTCO2e",0.179778,0,"No data",4329611,NA,60995183,"1-5 million t",NA,"50-100 million t"
"104","Mozambique",12.17,74.1,0,0,0,0,0,"MZ","MOZ",508,7,-18.25,35,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.02389,0,"No data",6296700,1583577,90471,"1-10 million t","1-5 million t","1-5 million t"
"105","Mauritania",124.5,11.59,0,0,0,0,0,"MR","MRT",478,7,20,-12,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.01123,0,"No data",4092204,NA,NA,"1-5 million t",NA,NA
"106","Malawi",13.83,21.32,0,0,0,0,0,"MW","MWI",454,7,-13.5,34,"Global","Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.004024,0,"No data",1133172,NA,213511,"1-5 million t",NA,"1-5 million t"
"107","Malaysia",117,162.95,0,0,0,0,0,"MY","MYS",458,7,2.5,112.5,"Global","Asia",0,2,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,4,3,1,351.3864888828,792.647335277778,0,"1-500TWh","500-1000TWH","No data","1-169 MTCO2e",0.686293,93.613,"90-95",84220655,66116922,81195658,"50-100 million t","50-100 million t","50-100 million t"
"108","Namibia",85.83,20.3,0,0,0,0,0,"NA","NAM",516,7,-22,17,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.011438,0,"No data",3728771,NA,71268,"1-5 million t",NA,"1-5 million t"
"109","New Caledonia",0,0,0,0,0,0,0,"NC","NCL",540,7,-21.5,165.5,"Global","Oceania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","No data",0.023192,0,"No data",2853793,NA,5558528,"1-5 million t",NA,"5-10 million t"
