Entity,Code,Year,Coal Production - TWh,Oil Production - TWh,Gas Production - TWh
North America,,1975,,6879.155413502001,6026.370547222223
North America,,1976,,6722.8169939300005,5987.913069444445
North America,,1977,,6893.61040563,6054.516869444445
North America,,1978,,7281.401616416,6041.315230555555
North America,,1979,,7488.857140062001,6273.644005555556
North America,,1980,,7799.668605127,6214.339388888889
Norway,NOR,1971,,3.4050401108700004,0
Norway,NOR,1972,,18.77902940766,0
Norway,NOR,1973,,18.16021390138,0
Norway,NOR,1974,,19.862733962630003,0
Norway,NOR,1975,,107.25876337029,0
Norway,NOR,1976,,158.76815777640002,0
Norway,NOR,1977,,162.87441839820002,26.3498825
Norway,NOR,1978,,202.0323796325,140.94239416666667
Norway,NOR,1979,,226.7794158555,205.14702055555557
Norway,NOR,1980,,291.3272010868,249.0015461111111
Norway,NOR,1981,,282.5199224573,247.63988583333332
Norway,NOR,1982,,293.4425344527,237.8033672222222
Norway,NOR,1983,,365.1545707613,234.3547772222222
Norway,NOR,1984,,418.15393695360007,257.6787552777778
Norway,NOR,1985,,456.021849393,259.8926158333333
Norway,NOR,1986,,500.4859981273,258.9403022222222
Norway,NOR,1987,,582.8406765109,279.39754361111113
Norway,NOR,1988,,662.6720749719,281.1709822222222
Norway,NOR,1989,,871.1927146066001,285.2219802777778
Norway,NOR,1990,,955.3236888287,252.8835511111111
Norway,NOR,1991,,1091.385308187,248.39309416666669
Norway,NOR,1992,,1243.255171238,256.3990655555555
Norway,NOR,1993,,1327.312623275,246.17819138888888
Norway,NOR,1994,,1495.419838756,266.40295944444443
Norway,NOR,1995,,1609.5883632990003,276.04998
Norway,NOR,1996,,1798.745441492,371.1745841666667
Norway,NOR,1997,,1816.930829389,426.2263758333333
Norway,NOR,1998,,1739.850450441,438.6310477777778
Norway,NOR,1999,,1740.705146119,481.0726105555555
Norway,NOR,2000,,1861.656804197,494.2247738888889
Norway,NOR,2001,,1881.280664926,536.3121533333333
Norway,NOR,2002,,1830.090140662,651.0193980555555
Norway,NOR,2003,,1783.96204375,724.1274044444444
Norway,NOR,2004,,1747.089167129,785.8502947222222
Norway,NOR,2005,,1609.9893156900002,851.9877852777777
Norway,NOR,2006,,1498.548328527,880.0328377777777
Norway,NOR,2007,,1377.3875863090002,896.3240205555555
Norway,NOR,2008,,1331.098609281,993.2881938888888
Norway,NOR,2009,,1260.4038272080002,1034.6422547222223
Norway,NOR,2010,,1146.6088145362,1061.95384
Norway,NOR,2011,,1085.8438861431,1005.0689008333331
Norway,NOR,2012,,1012.3335787621,1138.6252391666667
Norway,NOR,2013,,964.476712937,1079.3039905555556
Norway,NOR,2014,,988.1589070578,1074.9113938888888
Norway,NOR,2015,,1019.2127570239,1161.3087769444444
Norway,NOR,2016,,1050.2670938218,1158.9093088888887
Norway,NOR,2017,,1033.4049223167,1237.2922247222225
Norway,NOR,2018,,968.9926661274,1212.8686655555557
Norway,NOR,2019,,913.4818074827,1142.5978691666664
Norway,NOR,2020,,1069.6292023276,1114.5425838888889
Norway,NOR,1970,,,0
OECD,,1981,11402.679108333334,9853.358956351,8229.108905555555
OECD,,1982,11734.984258333334,10336.908274913,7795.3057055555555
OECD,,1983,11294.28705,10605.73425837,7365.78633611111
OECD,,1984,11690.2248,11103.009993754002,7840.742413888889
OECD,,1985,12267.572719444444,11260.572138208,7717.533052777777
OECD,,1986,12466.550833333333,11063.055918431,7469.566308333334
OECD,,1987,12608.345825,11138.457180076,7764.828658333333
OECD,,1988,12730.734397222222,11058.936474739,7916.156955555555
OECD,,1989,12851.913102777777,10622.974347074,8110.320799999999
OECD,,1990,12798.821183333332,10666.096934487,8335.360297222222
OECD,,1991,12276.829377777776,10952.559044201002,8534.484141666668
OECD,,1992,12097.733241666669,11071.701066138,8724.726591666666
OECD,,1993,11421.95955,11078.879394051,9046.035086111113
OECD,,1994,11747.242683333332,11546.383644788,9451.026027777778
OECD,,1995,11862.7428,11712.83821052,9588.928338888889
OECD,,1996,12050.494044444444,12113.72665978,10043.353275
OECD,,1997,12358.985233333337,12281.119820010004,10107.806855555556
OECD,,1998,12245.56674722222,12253.500116800002,10254.107502777775
OECD,,1999,11999.899275,12026.84458196,10329.661852777775
OECD,,2000,11779.32996111111,12121.11702469,10552.461147222222
OECD,,2001,12183.550133333334,11972.80261197,10773.668402777776
OECD,,2002,11870.301277777777,12002.63370153,10662.887291666668
