"","Country","City, state, or province","Start","Divestment type","Organisation","Organisation_type","Sources and more info","Sources 2","Sources 3","Notes","Category"
"831","--","--",2017-05-18,"--","Presentation Sisters, North East Province","Faith-based Organization","--","--","--","--","Divestment"
"832","--","--",2015-02-01,"--","Presentation Sisters, Queensland","Faith-based Organization","--","--","--","--","Divestment"
"833","--","--",2017-05-18,"--","Presentation Sisters, South West Unit","Faith-based Organization","--","--","--","--","Divestment"
"834","--","--",2016-06-01,"--","Presentation Sisters, Wagga Wagga","Faith-based Organization","--","--","--","--","Divestment"
"835","--","--",2016-10-04,"--","Presentation Society of Australia and Papua New Guinea","Faith-based Organization","--","--","--","--","Divestment"
"836","--","--",2015-12-01,"--","Presse-Versorgung","Pension Fund","--","--","--","--","Divestment"
"837","--","--",2020-05-28,"--","Pro Civitate Christiana","Faith-based Organization","--","--","--","--","Divestment"
"838","--","--",2020-12-03,"--","Proclade Perú-Bolivia","Faith-based Organization","--","--","--","--","Divestment"
"839","--","--",2015-12-01,"--","Protestant Church Hessen-Nassau","Faith-based Organization","--","--","--","--","Divestment"
"840","--","--",2016-06-01,"--","Provincial of The Passionists – Holy Spirit Province Australia, NZ, PNG","Faith-based Organization","--","--","--","--","Divestment"
"841","--","--",2016-09-01,"--","Provincial Synod of the Anglican Church of Southern Africa (ACSA)","Faith-based Organization","--","--","--","--","Divestment"
"842","--","--",2016-06-30,"--","Publica","Pension Fund","--","--","--","--","Divestment"
"843","--","--",2020-01-16,"--","Pudsey Parish Church (C of E)","Faith-based Organization","--","--","--","--","Divestment"
"844","--","--",2015-06-01,"--","Put Your Money Where Your Meaning Is Community (Pymwymic)","Philanthropic Foundation","--","--","--","--","Divestment"
"845","--","--",2019-04-01,"--","QBE Insurance Group Limited","For Profit Corporation","--","--","--","--","Divestment"
"846","--","--",2013-10-01,"--","Quakers in Britain","Faith-based Organization","--","--","--","--","Divestment"
"847","--","--",2015-01-01,"--","Quakers Religious Society of Friends","Faith-based Organization","--","--","--","--","Divestment"
"848","--","--",2015-04-01,"--","Queen Margaret University","Educational Institution","--","--","--","--","Divestment"
"849","--","--",2016-05-01,"--","Queen Mary University London","Educational Institution","--","--","--","--","Divestment"
"850","--","--",2018-01-08,"--","Queens College, Cambridge","Educational Institution","--","--","--","--","Divestment"
"851","--","--",2017-05-23,"--","Queens University Belfast","Educational Institution","--","--","--","--","Divestment"
"852","--","--",2016-09-02,"--","Queensland University of Technology","Educational Institution","--","--","--","--","Divestment"
"853","--","--",2019-11-13,"--","quick festivalonline","Faith-based Organization","--","--","--","--","Divestment"
"854","--","--",2015-06-01,"--","Quixote Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"855","--","--",NA,"--","R & R Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"856","--","--",2017-05-18,"--","RAAD Red Argentina de Ambiente y Desarrollo","Faith-based Organization","--","--","--","--","Divestment"
"857","--","--",2019-07-23,"--","Rachel's Network","NGO","--","--","--","--","Divestment"
"858","--","--",2015-10-31,"--","Randwick City Council","Government","--","--","--","--","Divestment"
"859","--","--",2018-12-12,"--","Ray and Tye Noorda Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"860","--","--",2015-12-10,"--","Reading Borough Council","Government","--","--","--","--","Divestment"
"861","--","--",2017-10-23,"--","Reading University","Educational Institution","--","--","--","--","Divestment"
"862","--","--",2017-05-18,"--","Red Argentina de Laicos (RELAI)","Faith-based Organization","--","--","--","--","Divestment"
"863","--","--",2019-07-19,"--","Red Rocks Impact GmbH & Co KG","For Profit Corporation","--","--","--","--","Divestment"
"864","--","--",2020-01-16,"--","Redland Park URC, Bristol","Faith-based Organization","--","--","--","--","Divestment"
"865","--","--",2019-04-23,"--","Redway Community Services District","Government","--","--","--","--","Divestment"
"866","--","--",2019-11-13,"--","Reform Pension Fund","Faith-based Organization","--","--","--","--","Divestment"
"867","--","--",NA,"--","Regional council Burgundy","Government","--","--","--","--","Divestment"
"868","--","--",2015-06-18,"--","Regional Council Ile de France","Government","--","--","--","--","Divestment"
"869","--","--",2015-10-26,"--","Regional council of Champagne-Ardennes","Government","--","--","--","--","Divestment"
"870","--","--",2015-06-26,"--","Regional council of Poitou-Charente","Government","--","--","--","--","Divestment"
"871","--","--",2015-06-29,"--","Regional Council Rhône Alpes","Government","--","--","--","--","Divestment"
"872","--","--",2020-12-03,"--","Religious of the Sacred Heart of Jesus","Faith-based Organization","--","--","--","--","Divestment"
"873","--","--",2019-11-28,"--","Religious Sisters of Charity (English/Scottish Province)","Faith-based Organization","--","--","--","--","Divestment"
"874","--","--",2019-10-16,"--","Religious Sisters of Charity, English/Scottish Province","Faith-based Organization","--","--","--","--","Divestment"
"875","--","--",NA,"--","Religious Society of Friends in Australia","Faith-based Organization","--","--","--","--","Divestment"
"876","--","--",2015-11-23,"--","Rennes","Government","--","--","--","--","Divestment"
"877","--","--",2017-05-10,"--","Rete Interdiocesana Nuovi Stili di Vita","Faith-based Organization","--","--","--","--","Divestment"
"878","--","--",NA,"--","Rhode Island School of Design","Educational Institution","--","--","--","--","Divestment"
"879","--","--",NA,"--","Rianta Capital","Philanthropic Foundation","--","--","--","--","Divestment"
"880","--","--",2016-12-20,"--","Richmond Valley Council","Government","--","--","--","--","Divestment"
"881","--","--",NA,"--","Riverside Church","Faith-based Organization","--","--","--","--","Divestment"
"882","--","--",2014-01-01,"--","Robert Treat Paine Association","Philanthropic Foundation","--","--","--","--","Divestment"
"883","--","--",2014-09-01,"--","Rockefeller Brothers Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"884","--","--",2016-03-01,"--","Rockefeller Family Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"885","--","--",2020-12-15,"--","Rockefeller Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"886","--","--",NA,"--","Roddick Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"887","--","--",NA,"--","ROS Super Fund","Pension Fund","--","--","--","--","Divestment"
"888","--","--",2015-11-01,"--","Rose Foundation for Communities and the Environment","Philanthropic Foundation","--","--","--","--","Divestment"
"889","--","--",2015-10-01,"--","Roskilde Municipality","Government","--","--","--","--","Divestment"
"890","--","--",2016-01-01,"--","Ross Knowles Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"891","--","--",2014-09-01,"--","Ross Knowles Super Fund","Pension Fund","--","--","--","--","Divestment"
"892","--","--",2015-06-01,"--","Royal Australasian College of Physicians","Healthcare Institution","--","--","--","--","Divestment"
"893","--","--",2019-07-17,"--","Royal College of Emergency Medicine","Educational Institution","--","--","--","--","Divestment"
"894","--","--",2020-01-28,"--","Royal College of Physicians","Healthcare Institution","--","--","--","--","Divestment"
"895","--","--",2019-07-17,"--","Royal Society of Arts","NGO","--","--","--","--","Divestment"
"896","--","--",NA,"--","RS Group","For Profit Corporation","--","--","--","--","Divestment"
"897","--","--",2014-07-01,"--","Rubblestone Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"898","--","--",2018-06-09,"--","Rudolph Steiner Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"899","--","--",NA,"--","Rusbourne Private Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"900","--","--",2014-01-01,"--","Russell Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"901","--","--",2018-12-12,"--","Sacagewea L&C LLC","For Profit Corporation","--","--","--","--","Divestment"
"902","--","--",2017-05-18,"--","Sacred Convent of Assisi","Faith-based Organization","--","--","--","--","Divestment"
"903","--","--",2015-04-01,"--","Sainsbury Ashden Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"904","--","--",2015-04-01,"--","Saint Paul Area Synod – Evangelical Lutheran Church of America","Faith-based Organization","--","--","--","--","Divestment"
"905","--","--",2016-10-01,"--","Salem State University","Educational Institution","--","--","--","--","Divestment"
"906","--","--",2016-10-04,"--","Salesian Sisters of Don Bosco or  Daughters of Mary Help of Christians","Faith-based Organization","--","--","--","--","Divestment"
"907","--","--",2017-05-18,"--","Salvatorianen of Belgium","Faith-based Organization","--","--","--","--","Divestment"
"908","--","--",2014-01-01,"--","Samuel Rubin Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"909","--","--",2013-05-01,"--","San Francisco State University Foundation","Educational Institution","--","--","--","--","Divestment"
"910","--","--",2013-08-01,"--","Santa Clara Valley Water District","Government","--","--","--","--","Divestment"
"911","--","--",2013-02-01,"--","Santa Fe Art Institute","NGO","--","--","--","--","Divestment"
"912","--","--",2018-03-09,"--","Sarah Stegley Super Fund","Pension Fund","--","--","--","--","Divestment"
"913","--","--",2018-03-09,"--","Sarieka Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"914","--","--",2015-06-01,"--","Scarboro Missions, ON","Faith-based Organization","--","--","--","--","Divestment"
"915","--","--",2014-01-01,"--","Schmidt Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"916","--","--",2017-05-18,"--","School Sisters of Notre Dame","Faith-based Organization","--","--","--","--","Divestment"
"917","--","--",2015-06-01,"--","Schott Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"918","--","--",2017-10-24,"--","SCOR Re","For Profit Corporation","--","--","--","--","Divestment"
"919","--","--",2015-06-01,"--","Scott Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"920","--","--",NA,"--","Scottish Catholic International Aid Fund (SCIAF)","Faith-based Organization","--","--","--","--","Divestment"
"921","--","--",2017-06-01,"--","Scottish Episcopal Church","Faith-based Organization","--","--","--","--","Divestment"
"922","--","--",2017-10-01,"--","Scottish United Reformed & Congregational College","Faith-based Organization","--","--","--","--","Divestment"
"923","--","--",NA,"--","ScouseMouse Super Fund","Pension Fund","--","--","--","--","Divestment"
"924","--","--",2019-07-21,"--","SCS Energy Consulting","For Profit Corporation","--","--","--","--","Divestment"
"925","--","--",NA,"--","Seattle University","Educational Institution","--","--","--","--","Divestment"
"926","--","--",2015-05-01,"--","Second Swedish National Pension Fund (AP2)","Pension Fund","--","--","--","--","Divestment"
"927","--","--",NA,"--","Secours Catholique - Caritas France","Faith-based Organization","--","--","--","--","Divestment"
"928","--","--",2020-05-28,"--","Secretariado Latinoamericano MIEC-JEC","Faith-based Organization","--","--","--","--","Divestment"
"929","--","--",2018-12-14,"--","Selkirk Parish Church (Church of Scotland)","Faith-based Organization","--","--","--","--","Divestment"
"930","--","--",2017-05-18,"--","Seraphic Institute","Faith-based Organization","--","--","--","--","Divestment"
"931","--","--",2015-06-01,"--","Serve All Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"932","--","--",NA,"--","Shalom Center","Faith-based Organization","--","--","--","--","Divestment"
"933","--","--",2015-04-01,"--","Shared Earth Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"934","--","--",2016-11-01,"--","Sheffield City Council","Government","--","--","--","--","Divestment"
"935","--","--",2016-01-01,"--","Sheffield Hallam University","Educational Institution","--","--","--","--","Divestment"
"936","--","--",2018-03-09,"--","Shevek Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"937","--","--",2015-02-01,"--","Shire of Goomalling, Western Australia","Government","--","--","--","--","Divestment"
"938","--","--",2014-01-01,"--","Shugar Magic Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"939","--","--",2020-12-03,"--","SICSAL - Servicio Internacional Cristiano de Solidaridad con los pueblos de América Latina «Óscar Romero»","Faith-based Organization","--","--","--","--","Divestment"
"940","--","--",2014-09-01,"--","Sierra Club","NGO","--","--","--","--","Divestment"
"941","--","--",2014-01-01,"--","Sierra Club Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"942","--","--",2017-05-18,"--","Sierra Leone Young Christian Student movement","Faith-based Organization","--","--","--","--","Divestment"
"943","--","--",2017-05-10,"--","Siloe Monastic Community","Faith-based Organization","--","--","--","--","Divestment"
"944","--","--",2018-03-09,"--","Silvergum Grove Super Fund","Pension Fund","--","--","--","--","Divestment"
"945","--","--",2020-01-29,"--","Simon Fraser University","Educational Institution","--","--","--","--","Divestment"
"946","--","--",2014-01-01,"--","Singing Field Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"947","--","--",2018-07-09,"--","Sisters Clarissen of Ostend","Faith-based Organization","--","--","--","--","Divestment"
"948","--","--",2018-07-09,"--","Sisters of Charity of Jesus & Mary","Faith-based Organization","--","--","--","--","Divestment"
"949","--","--",2018-07-09,"--","Sisters of Charity of the Blessed Virgin Mary","Faith-based Organization","--","--","--","--","Divestment"
"950","--","--",2015-07-01,"--","Sisters of Loretto","Faith-based Organization","--","--","--","--","Divestment"
"951","--","--",2020-12-03,"--","Sisters of Mercy Learning and Spiritual Centre","Faith-based Organization","--","--","--","--","Divestment"
"952","--","--",NA,"--","Sisters of Mercy, Northern Province","Faith-based Organization","--","--","--","--","Divestment"
"953","--","--",2020-12-03,"--","Sisters of Our Lady of Apostles","Faith-based Organization","--","--","--","--","Divestment"
"954","--","--",2020-05-28,"--","Sisters of St Josephs of Peace (UK Province)","Faith-based Organization","--","--","--","--","Divestment"
"955","--","--",2019-10-16,"--","Sisters of St. Dominic of Blauvelt","Faith-based Organization","--","--","--","--","Divestment"
"956","--","--",NA,"--","Sisters of St. Joseph of Chambery","Faith-based Organization","--","--","--","--","Divestment"
"957","--","--",2020-11-26,"--","Sisters of the Holy Cross (English Province)","Faith-based Organization","--","--","--","--","Divestment"
"958","--","--",2020-12-03,"--","Sisters of the Holy Cross (English Province)","Faith-based Organization","--","--","--","--","Divestment"
"959","--","--",2019-10-16,"--","Smiling Simon Greenbuild Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"960","--","--",2015-04-01,"--","SOAS, University of London","Educational Institution","--","--","--","--","Divestment"
"961","--","--",2018-12-12,"--","Social Action Committee of St. Mary's Catholic Church","Faith-based Organization","--","--","--","--","Divestment"
"962","--","--",2013-03-01,"--","Society for Community Work, First Unitarian Universalist Society of San Francisco, CA","Faith-based Organization","--","--","--","--","Divestment"
"963","--","--",2016-02-12,"--","Society for the Psychological Study of Social Issues","Healthcare Institution","--","--","--","--","Divestment"
"964","--","--",NA,"--","Society of Friends, Canberra Regional Meeting","Faith-based Organization","--","--","--","--","Divestment"
"965","--","--",2017-05-18,"--","Society of the Sacred Heart","Faith-based Organization","--","--","--","--","Divestment"
"966","--","--",2020-11-26,"--","Society of the Sacred Heart (England and Wales Province)","Faith-based Organization","--","--","--","--","Divestment"
"967","--","--",2020-12-03,"--","Society of the Sacred Heart (England and Wales Province)","Faith-based Organization","--","--","--","--","Divestment"
"968","--","--",NA,"--","Sojourners","Faith-based Organization","--","--","--","--","Divestment"
"969","--","--",2014-01-01,"--","Solidago Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"970","--","--",NA,"--","Sollentuna Government","Government","--","--","--","--","Divestment"
"971","--","--",2019-12-12,"--","Sonoma County","Government","--","--","--","--","Divestment"
"972","--","--",2015-11-01,"--","South Yorkshire Pension Fund","Pension Fund","--","--","--","--","Divestment"
"973","--","--",2015-10-01,"--","Southampton Solent University","Educational Institution","--","--","--","--","Divestment"
"974","--","--",2020-07-08,"--","Southampton Solent University","Educational Institution","--","--","--","--","Divestment"
"975","--","--",2020-11-26,"--","Southern Synod","Faith-based Organization","--","--","--","--","Divestment"
"976","--","--",2020-12-03,"--","Southern Synod","Faith-based Organization","--","--","--","--","Divestment"
"977","--","--",2016-10-04,"--","SSM Health","Healthcare Institution","--","--","--","--","Divestment"
"978","--","--",2020-01-16,"--","St Augustine of Canterbury, Alston (C of E)","Faith-based Organization","--","--","--","--","Divestment"
"979","--","--",1905-07-09,"--","St Chad's Sutton Coldfield (Church of England)","Faith-based Organization","--","--","--","--","Divestment"
"980","--","--",2019-04-26,"--","St Hilda’s Church, Ashford (Church of England)","Faith-based Organization","--","--","--","--","Divestment"
"981","--","--",2018-01-08,"--","St Hildas College, Oxford","Educational Institution","--","--","--","--","Divestment"
"982","--","--",2020-01-16,"--","St John the Evangelist, Garrigill (C of E)","Faith-based Organization","--","--","--","--","Divestment"
"983","--","--",2020-01-16,"--","St John the Evangelist, Nenthead (C of E)","Faith-based Organization","--","--","--","--","Divestment"
"984","--","--",2019-04-26,"--","St John the Evangelist, Upper St Leonards (Church of England)","Faith-based Organization","--","--","--","--","Divestment"
"985","--","--",2018-12-14,"--","St John’s, Hartley Wintney (Church of England)","Faith-based Organization","--","--","--","--","Divestment"
"986","--","--",2017-05-10,"--","St Joseph's Province of the Congregation of the Passion","Faith-based Organization","--","--","--","--","Divestment"
"987","--","--",2020-01-16,"--","St Jude, Knaresdale (C of E)","Faith-based Organization","--","--","--","--","Divestment"
"988","--","--",2020-01-16,"--","St Luke's Holloway, London (C of E)","Faith-based Organization","--","--","--","--","Divestment"
"989","--","--",2020-01-16,"--","St Mary & St Patrick, Lambley (C of E)","Faith-based Organization","--","--","--","--","Divestment"
"990","--","--",NA,"--","St Mary of the Angels J&P Group","Faith-based Organization","--","--","--","--","Divestment"
"991","--","--",2019-11-28,"--","St Mary's Episcopal Cathedral, Edinburgh","Faith-based Organization","--","--","--","--","Divestment"
"992","--","--",2020-11-26,"--","St Mary's Walthamstow","Faith-based Organization","--","--","--","--","Divestment"
"993","--","--",2020-12-03,"--","St Mary's Walthamstow","Faith-based Organization","--","--","--","--","Divestment"
"994","--","--",2019-11-28,"--","St Mary's, Hornsey Rise (Church of England)","Faith-based Organization","--","--","--","--","Divestment"
"995","--","--",2017-05-18,"--","St Patrick's Missionary Society","Faith-based Organization","--","--","--","--","Divestment"
"996","--","--",2020-05-28,"--","St Peter and St Pauls, Chaldon","Faith-based Organization","--","--","--","--","Divestment"
"997","--","--",2019-04-26,"--","St Peter’s Church, Maney, Sutton Coldfield (Church of England)","Faith-based Organization","--","--","--","--","Divestment"
"998","--","--",2019-04-26,"--","St Stephen with St Julian, St Albans (Church of England)","Faith-based Organization","--","--","--","--","Divestment"
"999","--","--",2019-01-22,"--","St. James Episcopal Church","Faith-based Organization","--","--","--","--","Divestment"
"1000","--","--",2020-12-03,"--","St.Joseph Church","Faith-based Organization","--","--","--","--","Divestment"
"1001","--","--",2014-05-01,"--","Stanford University","Educational Institution","--","--","--","--","Divestment"
"1002","--","--",2015-06-01,"--","Staples Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"1003","--","--",2018-03-09,"--","Starfish Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1004","--","--",2013-04-01,"--","State College, PA","Educational Institution","--","--","--","--","Divestment"
"1005","--","--",2013-02-01,"--","Sterling College","Educational Institution","--","--","--","--","Divestment"
"1006","--","--",2018-12-12,"--","Sterns & Walker","For Profit Corporation","--","--","--","--","Divestment"
"1007","--","--",2016-04-26,"--","Stevns City Council","Government","--","--","--","--","Divestment"
"1008","--","--",2015-11-01,"--","Steyler Ethik Bank","For Profit Corporation","--","--","--","--","Divestment"
"1009","--","--",2016-10-29,"--","Stiftung Abendrot","Pension Fund","--","--","--","--","Divestment"
"1010","--","--",2020-01-16,"--","Stirling Methodist Church","Faith-based Organization","--","--","--","--","Divestment"
"1011","--","--",2016-02-01,"--","Stockholm University","Educational Institution","--","--","--","--","Divestment"
"1012","--","--",2014-01-01,"--","Storebrand","For Profit Corporation","--","--","--","--","Divestment"
"1013","--","--",2015-11-20,"--","Strasbourg","Government","--","--","--","--","Divestment"
"1014","--","--",2016-10-16,"--","Stroud District Council","Government","--","--","--","--","Divestment"
"1015","--","--",2020-05-28,"--","Stroud Methodist Church","Faith-based Organization","--","--","--","--","Divestment"
"1016","--","--",2015-06-01,"--","Student Christian Movement","Faith-based Organization","--","--","--","--","Divestment"
"1017","--","--",2013-02-01,"--","Students’ Society of McGill University","Educational Institution","--","--","--","--","Divestment"
"1018","--","--",NA,"--","SUJAY Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"1019","--","--",2015-06-01,"--","SunCommon","For Profit Corporation","--","--","--","--","Divestment"
"1020","--","--",2019-11-08,"--","Suncorp","For Profit Corporation","--","--","--","--","Divestment"
"1021","--","--",2018-03-09,"--","Sunshine Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"1022","--","--",2018-12-12,"--","SUNY New Paltz Foundation","Educational Institution","--","--","--","--","Divestment"
"1023","--","--",NA,"--","Super Three Super Fund","Pension Fund","--","--","--","--","Divestment"
"1024","--","--",2018-03-09,"--","Susie Edwards Super Fund","Pension Fund","--","--","--","--","Divestment"
"1025","--","--",2020-05-28,"--","Sussex East Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"1026","--","--",2019-03-28,"--","Swansea University","Educational Institution","--","--","--","--","Divestment"
"1027","--","--",NA,"--","Swarthmore Monthly Meeting","Faith-based Organization","--","--","--","--","Divestment"
"1028","--","--",2016-12-15,"--","Swedish University of Agricultural Sciences","Educational Institution","--","--","--","--","Divestment"
"1029","--","--",NA,"--","Swift Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1030","--","--",2015-12-01,"--","Swinburne University","Educational Institution","--","--","--","--","Divestment"
"1031","--","--",2017-08-17,"--","Swiss Reinsurance Company Ltd","For Profit Corporation","--","--","--","--","Divestment"
"1032","--","--",2014-01-01,"--","Switzer Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1033","--","--",2016-06-01,"--","Sydney Buddhist Centre","Faith-based Organization","--","--","--","--","Divestment"
"1034","--","--",2016-10-01,"--","Synod of the Northeast Presbyterian Church","Faith-based Organization","--","--","--","--","Divestment"
"1035","--","--",NA,"--","Synod of Victoria and Tasmania","Faith-based Organization","--","--","--","--","Divestment"
"1036","--","--",2019-07-19,"--","Syntropy Wealth","For Profit Corporation","--","--","--","--","Divestment"
"1037","--","--",2015-03-01,"--","Syracuse University","Educational Institution","--","--","--","--","Divestment"
"1038","--","--",NA,"--","Taikura Super Fund","Pension Fund","--","--","--","--","Divestment"
"1039","--","--",2018-12-14,"--","Tavistock United Reformed Church","Faith-based Organization","--","--","--","--","Divestment"
"1040","--","--",2018-01-09,"--","Teachers Retirement System of the City of New York","Pension Fund","--","--","--","--","Divestment"
"1041","--","--",2020-12-03,"--","Technologies for the Economical Development","Faith-based Organization","--","--","--","--","Divestment"
"1042","--","--",2015-06-01,"--","Tedworth Charitable Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"1043","--","--",2014-01-01,"--","Tellus Mater Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1044","--","--",2018-04-05,"--","Tertiary Sisters of Saint Francis","Faith-based Organization","--","--","--","--","Divestment"
"1045","--","--",2020-11-26,"--","Thames North Synod","Faith-based Organization","--","--","--","--","Divestment"
"1046","--","--",2020-12-03,"--","Thames North Synod","Faith-based Organization","--","--","--","--","Divestment"
"1047","--","--",NA,"--","The Alma Mater Society","Educational Institution","--","--","--","--","Divestment"
"1048","--","--",2020-04-23,"--","The American University","Educational Institution","--","--","--","--","Divestment"
"1049","--","--",2019-05-10,"--","The Archdiocese of Panama","Faith-based Organization","--","--","--","--","Divestment"
"1050","--","--",2014-07-01,"--","The Arkay Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1051","--","--",2020-07-08,"--","The British monarchy","Other","--","--","--","--","Divestment"
"1052","--","--",NA,"--","The British Psychological Society (BPS)","Healthcare Institution","--","--","--","--","Divestment"
"1053","--","--",2019-05-10,"--","The Catholic Church in Greece","Faith-based Organization","--","--","--","--","Divestment"
"1054","--","--",NA,"--","The city of Aalborg","Government","--","--","--","--","Divestment"
"1055","--","--",2017-07-20,"--","The City of Capetown","Government","--","--","--","--","Divestment"
"1056","--","--",2019-04-12,"--","The City of Denver","Government","--","--","--","--","Divestment"
"1057","--","--",2018-11-10,"--","The city of Fremont","Government","--","--","--","--","Divestment"
"1058","--","--",2019-07-18,"--","The City of Montreal","Government","--","--","--","--","Divestment"
"1059","--","--",2019-05-10,"--","The Diocese of Civitavecchia-Tarquinia","Faith-based Organization","--","--","--","--","Divestment"
"1060","--","--",2019-05-10,"--","The Diocese of Naples","Faith-based Organization","--","--","--","--","Divestment"
"1061","--","--",2017-05-10,"--","The Diocese of Pescara","Faith-based Organization","--","--","--","--","Divestment"
"1062","--","--",2019-05-10,"--","The Diocese of Savona-Noli","Faith-based Organization","--","--","--","--","Divestment"
"1063","--","--",2019-05-10,"--","The Diocese of Siracusa","Faith-based Organization","--","--","--","--","Divestment"
"1064","--","--",2020-01-08,"--","The Dioceses of Middlesbrough","Faith-based Organization","--","--","--","--","Divestment"
"1065","--","--",2013-06-01,"--","The Educational Foundation of America","Philanthropic Foundation","--","--","--","--","Divestment"
"1066","--","--",2014-11-01,"--","The Foundation of the University of Maine Presque Isle","Philanthropic Foundation","--","--","--","--","Divestment"
"1067","--","--",2015-06-15,"--","The Fund for Santa Barbara","Philanthropic Foundation","--","--","--","--","Divestment"
"1068","--","--",NA,"--","The Global Catholic Climate Movement (GCCM)","Faith-based Organization","--","--","--","--","Divestment"
"1069","--","--",NA,"--","The Grantham Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1070","--","--",2018-03-09,"--","The H&S Kilgour Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"1071","--","--",2014-01-01,"--","The Hanley Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1072","--","--",2014-05-01,"--","The Hunt Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1073","--","--",2017-05-10,"--","The Italian Jesuits","Faith-based Organization","--","--","--","--","Divestment"
"1074","--","--",2018-12-12,"--","The J.R.S. Biodiversity Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1075","--","--",2015-06-01,"--","The Jacob and Valeria Langeloth Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1076","--","--",2018-03-09,"--","The Janet Goss Superfund","Pension Fund","--","--","--","--","Divestment"
"1077","--","--",2016-10-04,"--","The Jesuits in English Canada","Faith-based Organization","--","--","--","--","Divestment"
"1078","--","--",2018-12-12,"--","The Kristina and William Catto Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1079","--","--",2018-12-12,"--","The Lemelson Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1080","--","--",2015-06-01,"--","The Libra Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1081","--","--",2019-07-19,"--","The Ludo Group","For Profit Corporation","--","--","--","--","Divestment"
"1082","--","--",2014-07-01,"--","The Lydia B. Stokes Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1083","--","--",2017-05-10,"--","The Mission Congregation of the Servants of the Holy Spirit","Faith-based Organization","--","--","--","--","Divestment"
"1084","--","--",2015-02-01,"--","The New School","Educational Institution","--","--","--","--","Divestment"
"1085","--","--",2016-09-08,"--","The New Zealand Tertiary Education Union","Educational Institution","--","--","--","--","Divestment"
"1086","--","--",2020-05-28,"--","The Order of St Augustine - Irish Province","Faith-based Organization","--","--","--","--","Divestment"
"1087","--","--",2015-06-01,"--","The Overbrook Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1088","--","--",2014-01-01,"--","The Palette Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"1089","--","--",2019-03-28,"--","The public Pension Fund of Basel","Pension Fund","--","--","--","--","Divestment"
"1090","--","--",NA,"--","The Roddick Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1091","--","--",2018-01-08,"--","The Royal College of General Practitioners","Educational Institution","--","--","--","--","Divestment"
"1092","--","--",2018-12-12,"--","The Shared Earth Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"1093","--","--",2020-11-26,"--","The Sisters of St Andrew in England","Faith-based Organization","--","--","--","--","Divestment"
"1094","--","--",2020-12-03,"--","The Sisters of St Andrew in England","Faith-based Organization","--","--","--","--","Divestment"
"1095","--","--",2020-04-01,"--","The Sisters Of St. Joseph Of Peace (UK)","Faith-based Organization","--","--","--","--","Divestment"
