"","Category","Fuel_type","Fuel_subtype","Country","ISO2","ISO3","UN","City_state_or_province","mbl_country","mbl_city_region","Start","End","Sources_and_more_info","Sources_2","Sources_3","Policy","Sources_and_more_info_hyperlinks","Column1","a","b","MBL_Class_Moratorium","MBL_Class_Ban","MBL_Class_Partial_Ban","MBL_Class_Limitation","MBL_Type_Oil","MBL_Type_Gas","MBL_Type_Coal","MBL_Type_Offshore","MBL_Type_Oil_Gas","MBL_Type_Oil_Gas_Coal","MBL_Type_Coal_Gas","MBL_Type_All","MBL_Type_Ore","Date","date"
"85","Moratorium","Gas","Shale","United States of America","US","USA",840,"Michigan",0,1,2014,"2014","http://michiganradio.org/post/michigan-township-association-leery-fracking-moratoriums","http://michiganradio.org/post/exploratory-well-scio-township-comes-dry","https://www.foodandwaterwatch.org/sites/default/files/frack_actions_sciotownshipmi.pdf",1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2014-01-01,2014-01-01
"86","Moratorium","Gas","Shale","United States of America","US","USA",840,"Michigan",0,1,2015,"2016","http://welovedexter.com/oil-gas-exploration-moratorium-goes-into-effect-after-city-council-vote/","http://welovedexter.com/council-extends-oil-gas-moratorium/",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2015-01-01,2015-01-01
"87","Moratorium","Gas","Shale","United States of America","US","USA",840,"Michigan",0,1,2015,"ongoing","http://www.macombdaily.com/article/MD/20150519/NEWS/150519610","https://patch.com/michigan/rochester/new-drilling-rules-fall-short-fracking-ban",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2015-01-01,2015-01-01
"88","Ban","Gas","Shale","United States of America","US","USA",840,"Minnesota",0,1,2013,"ongoing","https://www.ecowatch.com/frac-sand-mining-fracking-2145279944.html","https://www.mprnews.org/story/2018/05/09/court-challenge-winona-county-sand-mining-ban",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2013-01-01,2013-01-01
"89","Ban","Coal","Coal","Indonesia","ID","IDN",360,"Nagan Raya, Aceh",0,1,2021,"ongoing","https://aceh.antaranews.com/berita/240677/dlhk-hentikan-aktivitas-pembangunan-stokpile-batu-bara-pt-pbm-di-nagan-raya",NA,NA,1,"Link","Link",5,NA,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-01,2021-01-01
"90","Moratorium","Coal","Coal","Indonesia","ID","IDN",360,"National",1,0,2023,NA,"https://news.mongabay.com/2021/05/indonesia-says-no-new-coal-plants-from-2023-after-the-next-100-or-so/","https://coalexit.org/sites/default/files/download_public/Factsheet_GCEL_engl_07102021.pdf",NA,1,"Link","Link",5,NA,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-01,2023-01-01
"91","Moratorium","Coal","Coal","Indonesia","ID","IDN",360,"National",1,0,2018,"ongoing","https://bisnis.tempo.co/read/1173043/gubernur-ntt-keluarkan-pergub-moratorium-tambang","https://radarntt.co/opini/2020/langkah-moratorium-izin-tambang-gubernur-ntt/",NA,1,"Link","Link",5,NA,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-01,2018-01-01
"92","Moratorium","Coal","Coal","Philippines","PH","PHL",608,"National",1,0,NA,NA,"https://ukcop26.org/global-coal-to-clean-power-transition-statement/",NA,NA,1,"Link","Link",3,3,6,0,0,0,0,0,6,0,0,0,0,0,0,NA,NA
"93","Moratorium","Coal","Coal","Philippines","PH","PHL",608,"Negros Oriental",0,1,2030,NA,"https://ukcop26.org/global-coal-to-clean-power-transition-statement/",NA,NA,1,"Link","Link",3,3,6,0,0,0,0,0,6,0,0,0,0,0,0,2030-01-01,2030-01-01
"94","Moratorium","Gas","Shale","Canada","CA","CAN",124,"New Brunswick",0,1,2014,"ongoing","http://www.cbc.ca/news/canada/new-brunswick/shale-gas-moratorium-details-unveiled-by-brian-gallant-1.2877440","https://www.theglobeandmail.com/news/politics/new-brunswick-introduces-fracking-moratorium/article22139797/","https://www.nrcan.gc.ca/energy/sources/shale-tight-resources/17698",1,"Link","Link",2,9,7,2,0,1,3,5,1,1,0,0,0,0,0,2014-01-01,2014-01-01
"95","Ban","Gas","Shale","United States of America","US","USA",840,"New Jersey",0,1,2011,"ongoing","http://franklintwpnj.org/home/showdocument?id=3895",NA,NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2011-01-01,2011-01-01
"96","Moratorium","Gas","Shale","United States of America","US","USA",840,"New Jersey",0,1,2012,"2013","http://www.nj.com/news/index.ssf/2012/02/nj_senate_panel_approves_bill_8.html","http://www.mcall.com/news/nationworld/pennsylvania/mc-nws-delaware-river-basin-fracking-ban-20170907-story.html","http://www.mcall.com/news/nationworld/pennsylvania/mc-nws-delaware-river-basin-fracking-ban-20170907-story.html",1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2012-01-01,2012-01-01
"97","Ban","Gas","Shale","United States of America","US","USA",840,"New Jersey",0,1,2013,"ongoing","http://www.nj.com/middlesex/index.ssf/2013/09/highland_park_becomes_first_town_in_nj_to_ban_fracking.html","http://www.mondaq.com/unitedstates/x/264848/Oil+Gas+Electricity/AntiFracking+Push+Begins+In+New+Jersey+With+Symbolic+Ban+By+Highland+Park+Borough",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2013-01-01,2013-01-01
"98","Ban","Gas","Shale","United States of America","US","USA",840,"New Jersey",0,1,2013,"ongoing","http://newbrunswicktoday.com/article/middlesex-county-becomes-first-new-jersey-ban-fracking","http://www.nj.com/middlesex/index.ssf/2013/12/middlesex_county_becomes_first_in_nj_to_ban_fracking.html",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2013-01-01,2013-01-01
"99","Ban","Offshore",NA,"United States of America","US","USA",840,"New Jersey",0,1,2018,"ongoing","https://www.ecowatch.com/new-jersey-offshore-drilling-ban-2562603514.html","https://www.njleg.state.nj.us/2018/Bills/PL18/7_.PDF",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2018-01-01,2018-01-01
"100","Ban","Gas","Shale","United States of America","US","USA",840,"New Mexico",0,1,2013,"2015","https://lajicarita.wordpress.com/2018/02/07/a-retrospective-on-the-mora-county-fracking-ban/","https://agrilife.org/texasaglaw/2015/02/11/nm-federal-judge-strikes-down-mora-county-oil-and-gas-ban/",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2013-01-01,2013-01-01
"101","Partial Ban","Gas","Coal Seam","Australia","AU","AUS",36,"New South Wales",0,1,2013,"ongoing","https://www.smh.com.au/environment/dead-in-the-water-ofarrell-buries-coal-seam-gas-plans-20130218-2eniw.html","http://www.abc.net.au/news/2017-03-01/anti-csg-activists-go-global-with-the-bentley-effect/8314080",NA,1,"Link","Link",0,8,5,2,1,0,0,6,1,0,1,0,0,0,0,2013-01-01,2013-01-01
